"","Intercept","Lower","Upper","Slope","Lower","Upper","R2","p","model"
"1",0.571,-0.306,1.448,1.051,0.811,1.291,0.873,0,"mouseCPUE_7"
"2",0.451,0.079,0.824,0.701,0.635,0.767,0.976,0,"mouseMNA_7"
"3",1.23,0.359,2.102,1.617,1.179,2.056,0.83,0,"MouseInd"
"4",-2.019,-4.459,0.421,7.751,4.755,10.747,0.706,0,"MouseProp2"
"5",0.395,-0.174,0.964,1.74,1.233,2.246,0.809,0,"voleCPUE_7"
"6",0.458,-0.024,0.94,0.85,0.652,1.048,0.89,0,"voleMNA_7[-c(7, 11)]"
"7",1.006,0.079,1.933,1.272,0.344,2.201,0.403,0.011,"VoleInd"
"8",0.954,-0.309,2.218,4.713,-0.141,9.567,0.253,0.056,"VoleProp2"
"9",0.418,-0.016,0.851,0.65,0.36,0.941,0.642,0,"chipCPUE_7"
"10",0.181,-0.122,0.483,0.515,0.389,0.641,0.869,0,"chipMNA_7[-c(9)]"
"11",0.084,-0.51,0.677,2.08,1.101,3.059,0.618,0.001,"ChipInd"
"12",-0.069,-0.802,0.663,2.927,1.388,4.465,0.565,0.001,"ChipProp2"
"13",1.27,0.117,2.423,0.906,0.625,1.187,0.789,0,"totCPUE_7"
"14",0.842,0.234,1.45,0.634,0.541,0.727,0.944,0,"totMNA_7"
"15",1.253,0.461,2.045,2.15,1.696,2.604,0.89,0,"TotInd"
"16",-2.271,-5.137,0.595,8.298,4.983,11.612,0.692,0,"TotProp2"
